"","date","weekday","name","source_counts","news_counts","total_news"
"586",2014-02-24,1,"柯文哲",13,208,11717
"587",2014-02-25,2,"柯文哲",14,282,12432
"588",2014-02-26,3,"柯文哲",11,104,12554
"589",2014-02-27,4,"柯文哲",11,124,11942
"590",2014-02-28,5,"柯文哲",13,148,9072
"593",2014-03-03,1,"柯文哲",10,114,11962
"594",2014-03-04,2,"柯文哲",11,94,12672
"595",2014-03-05,3,"柯文哲",10,60,13045
"596",2014-03-06,4,"柯文哲",11,148,12740
"597",2014-03-07,5,"柯文哲",11,134,12142
"600",2014-03-10,1,"柯文哲",10,118,12128
"601",2014-03-11,2,"柯文哲",11,136,12850
"602",2014-03-12,3,"柯文哲",14,120,13302
"603",2014-03-13,4,"柯文哲",10,92,12016
"604",2014-03-14,5,"柯文哲",13,104,11944
"607",2014-03-17,1,"柯文哲",11,114,11894
"608",2014-03-18,2,"柯文哲",13,104,12998
"609",2014-03-19,3,"柯文哲",12,154,13528
"610",2014-03-20,4,"柯文哲",3,8,9382
"611",2014-03-21,5,"柯文哲",1,8,7248
"614",2014-03-24,1,"柯文哲",1,8,7582
"615",2014-03-25,2,"柯文哲",5,14,11082
"616",2014-03-26,3,"柯文哲",2,8,9118
"617",2014-03-27,4,"柯文哲",10,48,12793
"618",2014-03-28,5,"柯文哲",2,6,7882
"621",2014-03-31,1,"柯文哲",6,24,10588
"622",2014-04-01,2,"柯文哲",6,24,10660
"623",2014-04-02,3,"柯文哲",3,6,9793
"624",2014-04-03,4,"柯文哲",3,8,9377
"625",2014-04-04,5,"柯文哲",3,6,7088
"628",2014-04-07,1,"柯文哲",7,46,11156
"629",2014-04-08,2,"柯文哲",6,18,9701
"630",2014-04-09,3,"柯文哲",6,34,10407
"631",2014-04-10,4,"柯文哲",4,10,10093
"632",2014-04-11,5,"柯文哲",6,24,9404
"635",2014-04-14,1,"柯文哲",10,34,9883
"636",2014-04-15,2,"柯文哲",10,66,10619
"637",2014-04-16,3,"柯文哲",9,54,11021
"638",2014-04-17,4,"柯文哲",10,124,12786
"639",2014-04-18,5,"柯文哲",11,104,11005
"642",2014-04-21,1,"柯文哲",11,76,10757
"643",2014-04-22,2,"柯文哲",13,86,12472
"644",2014-04-23,3,"柯文哲",13,100,12949
"645",2014-04-24,4,"柯文哲",7,26,11424
"646",2014-04-25,5,"柯文哲",2,6,7045
"649",2014-04-28,1,"柯文哲",5,12,9388
"650",2014-04-29,2,"柯文哲",2,6,8015
"651",2014-04-30,3,"柯文哲",2,6,9304
"652",2014-05-01,4,"柯文哲",5,10,8943
"653",2014-05-02,5,"柯文哲",8,26,10195
"656",2014-05-05,1,"柯文哲",5,22,9135
"657",2014-05-06,2,"柯文哲",7,24,11029
"658",2014-05-07,3,"柯文哲",10,76,12323
"659",2014-05-08,4,"柯文哲",8,26,11915
"660",2014-05-09,5,"柯文哲",10,66,12102
"663",2014-05-12,1,"柯文哲",11,66,11288
"664",2014-05-13,2,"柯文哲",11,84,12003
"665",2014-05-14,3,"柯文哲",14,144,14032
"666",2014-05-15,4,"柯文哲",10,88,12908
"667",2014-05-16,5,"柯文哲",9,52,11321
"670",2014-05-19,1,"柯文哲",5,14,9822
"671",2014-05-20,2,"柯文哲",9,32,11753
"672",2014-05-21,3,"柯文哲",4,10,9439
"673",2014-05-22,4,"柯文哲",7,24,11391
"674",2014-05-23,5,"柯文哲",7,40,10347
"677",2014-05-26,1,"柯文哲",12,62,11155
"678",2014-05-27,2,"柯文哲",10,50,11564
"679",2014-05-28,3,"柯文哲",11,90,12085
"680",2014-05-29,4,"柯文哲",7,32,11334
"681",2014-05-30,5,"柯文哲",11,60,11579
"684",2014-06-02,1,"柯文哲",13,186,8488
"685",2014-06-03,2,"柯文哲",11,54,11441
"686",2014-06-04,3,"柯文哲",10,50,11424
"687",2014-06-05,4,"柯文哲",10,72,11949
"688",2014-06-06,5,"柯文哲",11,72,11343
"691",2014-06-09,1,"柯文哲",12,90,11057
"692",2014-06-10,2,"柯文哲",12,140,12151
"693",2014-06-11,3,"柯文哲",13,146,12371
"694",2014-06-12,4,"柯文哲",12,106,12217
"695",2014-06-13,5,"柯文哲",13,274,12026
"698",2014-06-16,1,"柯文哲",13,218,11870
"699",2014-06-17,2,"柯文哲",12,182,12602
"700",2014-06-18,3,"柯文哲",12,170,12483
"701",2014-06-19,4,"柯文哲",12,144,12502
"702",2014-06-20,5,"柯文哲",10,88,11343
"705",2014-06-23,1,"柯文哲",10,124,11194
"706",2014-06-24,2,"柯文哲",12,68,12754
"707",2014-06-25,3,"柯文哲",8,48,12036
"708",2014-06-26,4,"柯文哲",10,44,12520
"709",2014-06-27,5,"柯文哲",11,64,11754
"712",2014-06-30,1,"柯文哲",12,98,11390
"713",2014-07-01,2,"柯文哲",10,94,10929
"714",2014-07-02,3,"柯文哲",11,120,11607
"715",2014-07-03,4,"柯文哲",12,168,12517
"716",2014-07-04,5,"柯文哲",11,70,11533
"719",2014-07-07,1,"柯文哲",11,98,11404
"720",2014-07-08,2,"柯文哲",9,74,12103
"721",2014-07-09,3,"柯文哲",11,144,12441
"722",2014-07-10,4,"柯文哲",10,72,12317
"723",2014-07-11,5,"柯文哲",10,88,10792
"726",2014-07-14,1,"柯文哲",11,116,11209
"727",2014-07-15,2,"柯文哲",11,162,11747
"728",2014-07-16,3,"柯文哲",11,134,11729
"729",2014-07-17,4,"柯文哲",12,240,12077
"730",2014-07-18,5,"柯文哲",11,216,11898
"733",2014-07-21,1,"柯文哲",11,102,11301
"734",2014-07-22,2,"柯文哲",10,108,13368
"735",2014-07-23,3,"柯文哲",11,104,11072
"736",2014-07-24,4,"柯文哲",8,44,12112
"737",2014-07-25,5,"柯文哲",11,110,11293
"740",2014-07-28,1,"柯文哲",11,150,11366
"741",2014-07-29,2,"柯文哲",11,180,12558
"742",2014-07-30,3,"柯文哲",9,106,11957
"743",2014-07-31,4,"柯文哲",11,150,12082
"744",2014-08-01,5,"柯文哲",8,66,13622
"747",2014-08-04,1,"柯文哲",9,44,11186
"748",2014-08-05,2,"柯文哲",12,102,12777
"749",2014-08-06,3,"柯文哲",10,178,11711
"750",2014-08-07,4,"柯文哲",10,108,12583
"751",2014-08-08,5,"柯文哲",11,136,11734
"754",2014-08-11,1,"柯文哲",12,128,11813
"755",2014-08-12,2,"柯文哲",11,120,12535
"756",2014-08-13,3,"柯文哲",12,194,12253
"757",2014-08-14,4,"柯文哲",11,196,12538
"758",2014-08-15,5,"柯文哲",10,166,11605
"761",2014-08-18,1,"柯文哲",11,284,11341
"762",2014-08-19,2,"柯文哲",11,240,12216
"763",2014-08-20,3,"柯文哲",12,136,12749
"764",2014-08-21,4,"柯文哲",8,128,11239
"765",2014-08-22,5,"柯文哲",10,140,11180
"768",2014-08-25,1,"柯文哲",10,68,10639
"769",2014-08-26,2,"柯文哲",11,156,11402
"770",2014-08-27,3,"柯文哲",10,116,11459
"771",2014-08-28,4,"柯文哲",11,150,11935
"772",2014-08-29,5,"柯文哲",11,156,11093
"775",2014-09-01,1,"柯文哲",12,224,11369
"776",2014-09-02,2,"柯文哲",12,190,12220
"777",2014-09-03,3,"柯文哲",12,230,12150
"778",2014-09-04,4,"柯文哲",13,280,12504
"779",2014-09-05,5,"柯文哲",13,236,12394
"782",2014-09-08,1,"柯文哲",13,226,7401
"783",2014-09-09,2,"柯文哲",13,336,12181
"784",2014-09-10,3,"柯文哲",12,422,12657
"785",2014-09-11,4,"柯文哲",12,282,12019
"786",2014-09-12,5,"柯文哲",13,260,11765
"789",2014-09-15,1,"柯文哲",12,200,11221
"790",2014-09-16,2,"柯文哲",12,220,11964
"791",2014-09-17,3,"柯文哲",11,236,11300
"792",2014-09-18,4,"柯文哲",12,310,11214
"793",2014-09-19,5,"柯文哲",11,300,10939
"796",2014-09-22,1,"柯文哲",11,200,10431
"797",2014-09-23,2,"柯文哲",11,216,11421
"798",2014-09-24,3,"柯文哲",11,312,11887
"799",2014-09-25,4,"柯文哲",12,356,12366
"800",2014-09-26,5,"柯文哲",12,216,11197
"803",2014-09-29,1,"柯文哲",12,136,10642
"804",2014-09-30,2,"柯文哲",11,160,11500
"805",2014-10-01,3,"柯文哲",11,166,11689
"806",2014-10-02,4,"柯文哲",11,226,11442
"807",2014-10-03,5,"柯文哲",10,350,10766
"809",2013-08-14,3,"馮光遠",7,28,7568
"810",2013-08-15,4,"馮光遠",3,14,10856
"811",2013-08-19,1,"馮光遠",1,2,5101
"812",2013-08-20,2,"馮光遠",7,20,9543
"813",2013-08-21,3,"馮光遠",2,10,6214
"814",2013-08-22,4,"馮光遠",1,2,5521
"815",2013-08-23,5,"馮光遠",1,4,5365
"818",2013-08-26,1,"馮光遠",4,12,6185
"819",2013-08-27,2,"馮光遠",1,2,5640
"820",2013-08-29,4,"馮光遠",4,14,7768
"821",2013-08-30,5,"馮光遠",1,2,5552
"822",2013-09-03,2,"馮光遠",6,24,8280
"823",2013-09-04,3,"馮光遠",1,2,4684
"824",2013-09-10,2,"馮光遠",1,2,4729
"826",2013-09-20,5,"馮光遠",1,4,4115
"828",2013-09-25,3,"馮光遠",1,4,6562
"829",2013-09-26,4,"馮光遠",1,2,5618
"830",2013-09-27,5,"馮光遠",1,6,5330
"832",2013-09-30,1,"馮光遠",4,20,8225
"833",2013-10-01,2,"馮光遠",1,2,5401
"834",2013-10-02,3,"馮光遠",1,6,5459
"835",2013-10-03,4,"馮光遠",1,4,5399
"836",2013-10-04,5,"馮光遠",1,8,4988
"838",2013-10-07,1,"馮光遠",1,4,3773
"839",2013-10-08,2,"馮光遠",1,6,1846
"840",2013-10-09,3,"馮光遠",1,8,3375
"841",2013-10-10,4,"馮光遠",4,24,6997
"842",2013-10-11,5,"馮光遠",2,12,5690
"845",2013-10-14,1,"馮光遠",1,6,4962
"846",2013-10-15,2,"馮光遠",3,24,6762
"847",2013-10-16,3,"馮光遠",4,30,7203
"848",2013-10-17,4,"馮光遠",3,8,6171
"849",2013-10-18,5,"馮光遠",3,10,6090
"850",2013-10-21,1,"馮光遠",1,4,5139
"851",2013-10-22,2,"馮光遠",5,14,8371
"852",2013-10-23,3,"馮光遠",2,10,6299
"853",2013-10-24,4,"馮光遠",2,12,5329
"854",2013-10-25,5,"馮光遠",3,10,7083
"857",2013-10-28,1,"馮光遠",1,8,3201
"858",2013-10-29,2,"馮光遠",2,6,3725
"859",2013-10-30,3,"馮光遠",1,12,5187
"860",2013-10-31,4,"馮光遠",1,2,1632
"861",2013-11-01,5,"馮光遠",1,12,5195
"863",2013-11-04,1,"馮光遠",6,26,6880
"864",2013-11-05,2,"馮光遠",1,6,5137
"865",2013-11-06,3,"馮光遠",1,10,5075
"866",2013-11-07,4,"馮光遠",1,8,4757
"867",2013-11-08,5,"馮光遠",1,8,4509
"870",2013-11-11,1,"馮光遠",3,20,5289
"871",2013-11-12,2,"馮光遠",2,8,5701
"872",2013-11-13,3,"馮光遠",1,8,4902
"873",2013-11-14,4,"馮光遠",4,20,7178
"874",2013-11-15,5,"馮光遠",3,20,6670
"877",2013-11-18,1,"馮光遠",1,8,4144
"878",2013-11-19,2,"馮光遠",1,4,4640
"879",2013-11-20,3,"馮光遠",1,10,4920
"880",2013-11-21,4,"馮光遠",1,8,4575
"881",2013-11-22,5,"馮光遠",1,8,4273
"884",2013-11-25,1,"馮光遠",1,8,4089
"885",2013-11-26,2,"馮光遠",1,8,4424
"886",2013-11-27,3,"馮光遠",2,14,4783
"887",2013-11-28,4,"馮光遠",1,4,4676
"888",2013-11-29,5,"馮光遠",1,10,4505
"891",2013-12-02,1,"馮光遠",2,12,2270
"892",2013-12-16,1,"馮光遠",1,6,3395
"893",2013-12-17,2,"馮光遠",1,4,4466
"894",2013-12-18,3,"馮光遠",1,8,4807
"895",2013-12-19,4,"馮光遠",1,8,4716
"896",2013-12-20,5,"馮光遠",1,10,4378
"899",2013-12-23,1,"馮光遠",1,8,4198
"900",2013-12-24,2,"馮光遠",2,6,5957
"901",2013-12-25,3,"馮光遠",3,12,6890
"902",2013-12-26,4,"馮光遠",3,14,6787
"903",2013-12-27,5,"馮光遠",2,12,5142
"905",2013-12-30,1,"馮光遠",4,16,6517
"906",2013-12-31,2,"馮光遠",2,8,6298
"907",2014-01-01,3,"馮光遠",1,8,3378
"908",2014-01-02,4,"馮光遠",5,18,6512
"909",2014-01-03,5,"馮光遠",1,8,4346
"912",2014-01-06,1,"馮光遠",1,4,3839
"913",2014-01-07,2,"馮光遠",1,2,5336
"914",2014-01-08,3,"馮光遠",1,4,6947
"915",2014-01-09,4,"馮光遠",3,6,9196
"916",2014-01-10,5,"馮光遠",2,8,7939
"919",2014-01-13,1,"馮光遠",1,4,7110
"920",2014-01-14,2,"馮光遠",1,4,7361
"921",2014-01-15,3,"馮光遠",1,4,7564
"922",2014-01-16,4,"馮光遠",1,4,7526
"923",2014-01-17,5,"馮光遠",1,6,6848
"926",2014-01-20,1,"馮光遠",1,4,6745
"927",2014-01-21,2,"馮光遠",1,4,7502
"928",2014-01-22,3,"馮光遠",2,8,8304
"929",2014-01-23,4,"馮光遠",2,6,8526
"930",2014-01-24,5,"馮光遠",1,4,7038
"933",2014-01-27,1,"馮光遠",1,4,7038
"934",2014-01-28,2,"馮光遠",7,30,11114
"935",2014-01-29,3,"馮光遠",2,6,6489
"936",2014-01-30,4,"馮光遠",1,4,3654
"937",2014-01-31,5,"馮光遠",2,4,3533
"940",2014-02-03,1,"馮光遠",2,14,3520
"941",2014-02-04,2,"馮光遠",3,12,4495
"942",2014-02-05,3,"馮光遠",2,12,6714
"943",2014-02-06,4,"馮光遠",3,12,7667
"944",2014-02-07,5,"馮光遠",2,8,7674
"947",2014-02-10,1,"馮光遠",1,4,6998
"948",2014-02-11,2,"馮光遠",5,14,10951
"949",2014-02-12,3,"馮光遠",2,6,8228
"950",2014-02-13,4,"馮光遠",8,20,10546
"951",2014-02-14,5,"馮光遠",3,10,9624
"954",2014-02-17,1,"馮光遠",10,70,10879
"955",2014-02-18,2,"馮光遠",3,20,9469
"956",2014-02-19,3,"馮光遠",6,14,6667
"957",2014-02-20,4,"馮光遠",3,10,4219
"958",2014-02-21,5,"馮光遠",2,6,7459
"961",2014-02-24,1,"馮光遠",1,2,6702
"962",2014-02-25,2,"馮光遠",10,44,11107
"963",2014-02-26,3,"馮光遠",3,12,9940
"964",2014-02-28,5,"馮光遠",1,2,4619
"966",2014-03-03,1,"馮光遠",2,6,8642
"967",2014-03-04,2,"馮光遠",1,2,7359
"968",2014-03-05,3,"馮光遠",5,28,11441
"969",2014-03-06,4,"馮光遠",2,6,8305
"970",2014-03-07,5,"馮光遠",3,8,7904
"973",2014-03-10,1,"馮光遠",7,26,10475
"974",2014-03-11,2,"馮光遠",5,14,9008
"975",2014-03-12,3,"馮光遠",1,2,7590
"976",2014-03-13,4,"馮光遠",2,4,7866
"977",2014-03-14,5,"馮光遠",10,30,11630
"980",2014-03-17,1,"馮光遠",7,30,11029
"981",2014-03-18,2,"馮光遠",4,12,9146
"982",2014-03-19,3,"馮光遠",8,24,11682
"983",2014-03-20,4,"馮光遠",2,6,7441
"985",2014-03-24,1,"馮光遠",1,4,7326
"986",2014-03-26,3,"馮光遠",1,4,7411
"987",2014-03-27,4,"馮光遠",6,20,11050
"990",2014-03-31,1,"馮光遠",2,4,6914
"991",2014-04-01,2,"馮光遠",2,8,7290
"992",2014-04-02,3,"馮光遠",1,2,7319
"993",2014-04-03,4,"馮光遠",4,10,10663
"994",2014-04-04,5,"馮光遠",1,2,5333
"997",2014-04-07,1,"馮光遠",2,6,7965
"998",2014-04-08,2,"馮光遠",4,8,7821
"999",2014-04-09,3,"馮光遠",3,6,7826
"1002",2014-04-14,1,"馮光遠",1,4,6694
"1003",2014-04-15,2,"馮光遠",3,6,8539
"1004",2014-04-16,3,"馮光遠",5,10,9342
"1005",2014-04-17,4,"馮光遠",5,10,11290
"1006",2014-04-18,5,"馮光遠",1,2,6374
"1009",2014-04-21,1,"馮光遠",2,6,7551
"1010",2014-04-22,2,"馮光遠",2,4,7121
"1011",2014-04-23,3,"馮光遠",2,8,7306
"1014",2014-04-28,1,"馮光遠",2,4,8079
"1015",2014-04-29,2,"馮光遠",1,2,6837
"1016",2014-05-01,4,"馮光遠",1,2,5882
"1017",2014-05-02,5,"馮光遠",4,8,7849
"1020",2014-05-05,1,"馮光遠",4,10,9238
"1021",2014-05-06,2,"馮光遠",2,4,7121
"1022",2014-05-07,3,"馮光遠",8,36,10560
"1023",2014-05-08,4,"馮光遠",4,16,9351
"1024",2014-05-09,5,"馮光遠",5,14,9429
"1027",2014-05-12,1,"馮光遠",6,32,9342
"1028",2014-05-13,2,"馮光遠",2,10,7794
"1029",2014-05-14,3,"馮光遠",7,26,11903
"1030",2014-05-15,4,"馮光遠",2,4,8546
"1033",2014-05-19,1,"馮光遠",2,4,6712
"1034",2014-05-20,2,"馮光遠",1,2,7472
"1035",2014-05-21,3,"馮光遠",1,2,7488
"1036",2014-05-22,4,"馮光遠",1,2,8176
"1037",2014-05-23,5,"馮光遠",1,2,6762
"1040",2014-05-26,1,"馮光遠",2,6,6813
"1041",2014-05-27,2,"馮光遠",1,2,6900
"1042",2014-05-28,3,"馮光遠",2,6,7915
"1043",2014-05-29,4,"馮光遠",1,2,7338
"1044",2014-05-30,5,"馮光遠",2,4,7526
"1046",2014-06-02,1,"馮光遠",3,8,6539
"1047",2014-06-03,2,"馮光遠",1,2,6884
"1048",2014-06-04,3,"馮光遠",4,8,10149
"1049",2014-06-05,4,"馮光遠",3,6,9440
"1050",2014-06-06,5,"馮光遠",1,2,6748
"1052",2014-06-09,1,"馮光遠",5,16,9759
"1053",2014-06-10,2,"馮光遠",7,18,10409
"1054",2014-06-11,3,"馮光遠",3,10,8862
"1055",2014-06-12,4,"馮光遠",3,8,8110
"1056",2014-06-13,5,"馮光遠",3,10,8692
"1059",2014-06-16,1,"馮光遠",2,4,7709
"1060",2014-06-17,2,"馮光遠",6,18,10192
"1061",2014-06-18,3,"馮光遠",6,22,9610
"1062",2014-06-19,4,"馮光遠",3,8,9175
"1063",2014-06-20,5,"馮光遠",3,8,7661
"1066",2014-06-23,1,"馮光遠",3,12,7527
"1067",2014-06-24,2,"馮光遠",2,6,8242
"1068",2014-06-25,3,"馮光遠",8,22,12102
"1069",2014-06-26,4,"馮光遠",2,4,8372
"1070",2014-06-27,5,"馮光遠",3,6,8722
"1073",2014-06-30,1,"馮光遠",1,2,6766
"1074",2014-07-01,2,"馮光遠",1,2,6712
"1075",2014-07-02,3,"馮光遠",1,2,6549
"1076",2014-07-03,4,"馮光遠",1,2,7258
"1077",2014-07-04,5,"馮光遠",4,8,7839
"1080",2014-07-07,1,"馮光遠",2,6,7389
"1081",2014-07-08,2,"馮光遠",1,2,7118
"1082",2014-07-09,3,"馮光遠",3,6,7632
"1083",2014-07-10,4,"馮光遠",4,8,8714
"1084",2014-07-11,5,"馮光遠",3,6,7220
"1087",2014-07-14,1,"馮光遠",3,12,6922
"1088",2014-07-15,2,"馮光遠",1,4,6736
"1089",2014-07-16,3,"馮光遠",10,32,10717
"1090",2014-07-17,4,"馮光遠",1,4,6874
"1091",2014-07-18,5,"馮光遠",3,10,7515
"1094",2014-07-21,1,"馮光遠",3,8,7312
"1095",2014-07-22,2,"馮光遠",10,62,13368
"1096",2014-07-23,3,"馮光遠",5,22,9455
"1097",2014-07-24,4,"馮光遠",3,6,9634
"1098",2014-07-25,5,"馮光遠",1,2,6593
"1101",2014-07-28,1,"馮光遠",1,2,6098
"1102",2014-07-29,2,"馮光遠",1,2,6418
"1103",2014-07-30,3,"馮光遠",3,12,7893
"1104",2014-07-31,4,"馮光遠",6,18,8570
"1106",2014-08-05,2,"馮光遠",1,2,7320
"1107",2014-08-06,3,"馮光遠",5,12,8337
"1108",2014-08-07,4,"馮光遠",2,8,8255
"1109",2014-08-08,5,"馮光遠",4,10,7722
"1112",2014-08-11,1,"馮光遠",1,2,6746
"1113",2014-08-12,2,"馮光遠",10,38,12392
"1114",2014-08-13,3,"馮光遠",6,36,11016
"1115",2014-08-14,4,"馮光遠",1,2,7256
"1116",2014-08-15,5,"馮光遠",1,2,6072
"1118",2014-08-18,1,"馮光遠",3,10,7638
"1119",2014-08-19,2,"馮光遠",5,14,10165
"1120",2014-08-20,3,"馮光遠",5,16,10544
"1121",2014-08-21,4,"馮光遠",4,18,9396
"1122",2014-08-22,5,"馮光遠",5,16,8544
"1125",2014-08-25,1,"馮光遠",5,14,7593
"1126",2014-08-28,4,"馮光遠",2,6,7760
"1127",2014-08-29,5,"馮光遠",4,16,8771
"1130",2014-09-01,1,"馮光遠",4,14,8878
"1131",2014-09-02,2,"馮光遠",5,12,9621
"1132",2014-09-03,3,"馮光遠",3,14,9499
"1133",2014-09-04,4,"馮光遠",5,18,9424
"1134",2014-09-05,5,"馮光遠",11,56,12184
"1137",2014-09-08,1,"馮光遠",2,4,4386
"1138",2014-09-09,2,"馮光遠",8,30,11330
"1139",2014-09-10,3,"馮光遠",1,2,7197
"1140",2014-09-11,4,"馮光遠",6,18,10233
"1141",2014-09-12,5,"馮光遠",4,16,9041
"1144",2014-09-15,1,"馮光遠",4,14,8047
"1145",2014-09-16,2,"馮光遠",6,14,10167
"1146",2014-09-17,3,"馮光遠",5,12,9879
"1147",2014-09-18,4,"馮光遠",1,2,5722
"1148",2014-09-19,5,"馮光遠",5,14,8928
"1150",2014-09-22,1,"馮光遠",4,16,8123
"1151",2014-09-23,2,"馮光遠",6,30,10443
"1152",2014-09-24,3,"馮光遠",5,16,9167
"1153",2014-09-25,4,"馮光遠",8,20,10682
"1154",2014-09-26,5,"馮光遠",6,32,9333
"1157",2014-09-29,1,"馮光遠",3,6,6249
"1158",2014-09-30,2,"馮光遠",7,18,10779
"1159",2014-10-01,3,"馮光遠",4,14,9483
"1160",2014-10-02,4,"馮光遠",7,26,9697
"1161",2014-10-03,5,"馮光遠",10,64,10766
